team,season,offensive_coordinator,previous_team,previous_role,is_internal_promotion,source_note
BUF,2026,Pete Carmichael Jr.,DEN,senior offensive assistant,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
MIA,2026,Bobby Slowik,MIA,senior passing game coordinator,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
NE,2026,Josh McDaniels,LV,head coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
NYJ,2026,Frank Reich,STANFORD,interim head coach (college),0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
BAL,2026,Declan Doyle,CHI,offensive coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
CIN,2026,Dan Pitcher,CIN,quarterbacks coach,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
CLE,2026,Travis Switzer,BAL,run game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
PIT,2026,Brian Angelichio,MIN,tight ends coach & pass game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
HOU,2026,Nick Caley,LA,tight ends coach & pass game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
IND,2026,Jim Bob Cooter,JAX,passing game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
JAX,2026,Grant Udinski,MIN,assistant offensive coordinator/quarterbacks coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
TEN,2026,Brian Daboll,NYG,head coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
DEN,2026,Davis Webb,DEN,quarterbacks coach & pass game coordinator,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
KC,2026,Eric Bieniemy,CHI,running backs coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
LV,2026,Andrew Janocko,SEA,quarterbacks coach,0,"New head coach Klint Kubiak (Seattle OC on 2025 Super Bowl-winning offense) brought Janocko with him - see note"
LAC,2026,Mike McDaniel,MIA,head coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
DAL,2026,Klayton Adams,ARI,offensive line coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
NYG,2026,Matt Nagy,KC,offensive coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
PHI,2026,Sean Mannion,GB,quarterbacks coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
WAS,2026,David Blough,WAS,assistant quarterbacks coach,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
CHI,2026,Press Taylor,CHI,passing game coordinator,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
DET,2026,Drew Petzing,ARI,offensive coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
GB,2026,Adam Stenavich,GB,offensive line coach & run game coordinator,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09) - verify, may already have been OC prior season"
MIN,2026,Wes Phillips,LA,tight ends coach & passing game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
ATL,2026,Tommy Rees,CLE,offensive coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
CAR,2026,Brad Idzik,TB,wide receivers coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
NO,2026,Doug Nussmeier,PHI,quarterbacks coach,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
TB,2026,Zac Robinson,ATL,offensive coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
ARI,2026,Nathaniel Hackett,GB,defensive analyst,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09) - unusual defensive-side prior role for an OC hire, verify"
LA,2026,Nathan Scheelhaase,LA,passing game coordinator,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
SF,2026,Klay Kubiak,SF,offensive passing game specialist,1,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09) - note: different person from Klint Kubiak (LV head coach)"
SEA,2026,Brian Fleury,SF,tight ends coach & run game coordinator,0,"Wikipedia List of current NFL offensive coordinators (fetched 2026-08-09)"
